Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
dm-0              0.00     0.00    0.05  100.23     0.93   801.87     8.01     2.61   26.02   0.13   1.28
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 113716.65 9495.85 909733.20 75944.93     8.00     0.00    0.00   0.00   0.00

Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.30  6323.94 2587.56  764.61 43783.04 24691.40    20.43     0.92    0.28   0.04  13.34
sdc               0.07     0.01    0.03    0.17     0.28     5.86    30.71     0.00    1.50   0.67   0.01
sde               0.07  3227.27 2587.72  244.30 43972.01 24328.07    24.12     0.85    0.31   0.05  12.85
sdd               0.07  2717.43 2585.59  198.82 42749.45 22711.19    23.51     0.82    0.30   0.05  12.68
sdf               0.07  2489.98 2585.47  178.60 42717.11 21265.22    23.15     1.16    0.42   0.05  12.99
sda               0.25     3.09    0.51    1.20    26.81    34.35    35.71     0.15   85.99   3.53   0.60
dm-0              0.00     0.00    0.63    4.29    26.40    34.35    12.34     0.59  118.94   1.22   0.60
dm-1              0.00     0.00    0.01    0.00     0.07     0.00     8.00     0.00    4.00   3.02   0.00
dm-2              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    4.14   3.09   0.00
md0               0.00     0.00 10342.18 5612.57 171090.06 76499.72    15.52     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00  2645.53 28059.88  978.45 224479.07 28743.60     8.72     8.11    0.28   0.03  99.65
sdc               0.00     0.02    0.00    0.45     0.00     3.95     8.78     0.00    0.00   0.00   0.00
sde               0.00  2767.55 28089.17  947.17 224713.33 29717.73     8.76     5.54    0.20   0.03  99.09
sdd               0.00  2686.53 28126.45  694.28 225011.60 27046.53     8.75     5.38    0.19   0.03  99.10
sdf               0.00  2883.62 28117.07  676.95 224936.53 28484.53     8.80     8.30    0.29   0.03  99.78
sda               0.00     0.97    0.00    1.27     0.00    17.87    14.11     0.03   21.50   7.04   0.89
dm-0              0.00     0.00    0.00    2.23     0.00    17.87     8.00     0.05   21.09   3.99   0.89
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 112392.70 14251.68 899141.33 113992.40     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00   978.97 28346.93  408.30 226775.47 10992.27     8.27     7.92    0.28   0.03  99.68
sdc               0.00     0.00    0.00    0.13     0.00     1.07     8.00     0.00    0.00   0.00   0.00
sde               0.00  1013.35 28338.70  403.02 226709.60 11330.93     8.28     4.97    0.18   0.03  98.80
sdd               0.00   979.55 28347.75  270.13 226782.00  9997.47     8.27     4.87    0.17   0.03  98.75
sdf               0.00  1084.68 28374.25  281.95 226994.27 10933.07     8.30     7.77    0.28   0.03  99.61
sda               0.00     0.72    0.00    1.12     0.00    14.67    13.13     0.02   18.88   7.31   0.82
dm-0              0.00     0.00    0.00    1.83     0.00    14.67     8.00     0.04   20.10   4.45   0.82
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 113407.22 5408.00 907257.73 43253.73     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00   665.42 28343.88  245.32 226751.07  7218.53     8.18     7.85    0.28   0.03  99.72
sdc               0.00     0.00    0.00    0.13     0.00     0.93     7.00     0.00    0.38   0.38   0.01
