Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sde               0.00  1864.65    0.00  190.57     0.00 16441.73    86.28     0.09    0.46   0.19   3.70
sdd               0.00  1131.58    0.00  160.20     0.00 10334.27    64.51     0.06    0.40   0.17   2.67
sdf               0.00  1792.00    0.00  186.32     0.00 15826.53    84.94     0.10    0.54   0.20   3.74
sda               0.00     0.55    0.00    1.00     0.00    12.40    12.40     0.02   15.02   6.47   0.65
dm-0              0.00     0.00    0.00    1.55     0.00    12.40     8.00     0.02   13.57   4.17   0.65
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00 7181.72     0.00 57425.47     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00  1556.82    0.00  190.90     0.00 13769.33    72.13     0.05    0.27   0.12   2.38
sdc               0.00     0.02    0.00    0.23     0.00     1.60     6.86     0.00    0.00   0.00   0.00
sde               0.00  1730.92    0.00  175.95     0.00 15254.93    86.70     0.08    0.47   0.21   3.71
sdd               0.00  1067.35    0.00  154.87     0.00  9777.73    63.14     0.06    0.40   0.18   2.76
sdf               0.00  1668.72    0.00  175.92     0.00 14757.07    83.89     0.11    0.60   0.21   3.73
sda               0.00     0.47    0.00    0.73     0.00     9.60    13.09     0.01   15.77   8.36   0.61
dm-0              0.00     0.00    0.00    1.20     0.00     9.60     8.00     0.02   15.40   5.11   0.61
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00 6698.43     0.00 53559.07     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00  1638.20    0.00  200.97     0.00 14487.47    72.09     0.05    0.26   0.11   2.29
sdc               0.00     0.00    0.00    0.07     0.00     0.10     1.50     0.00    0.00   0.00   0.00
sde               0.00  1801.97    0.00  188.07     0.00 15920.27    84.65     0.08    0.45   0.20   3.76
sdd               0.00  1094.52    0.00  161.98     0.00 10052.00    62.06     0.06    0.39   0.17   2.82
sdf               0.00  1766.17    0.00  185.32     0.00 15611.87    84.24     0.10    0.55   0.21   3.86
sda               0.00     0.37    0.00    0.87     0.00     9.87    11.38     0.01   12.52   8.08   0.70
