Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             211.33         0.00     15339.07          0     920344
sdc               0.43         0.00         3.95          0        237
sde             189.00         0.00     16362.40          0     981744
sdd             171.17         0.00     10605.47          0     636328
sdf             182.92         0.00     15757.07          0     945424
sda               0.92         0.00        11.07          0        664
dm-0              1.38         0.00        11.07          0        664
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            7261.30         0.00     58064.00          0    3483840

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             207.90         0.00     14822.53          0     889352
sdc               0.07         0.00         0.10          0          6
sde             189.48         0.00     16462.40          0     987744
sdd             164.95         0.00     10325.73          0     619544
sdf             183.12         0.00     15836.67          0     950200
sda               1.18         0.00        14.53          0        872
dm-0              1.82         0.00        14.53          0        872
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            7184.32         0.00     57447.33          0    3446840

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             220.75         0.00     15222.13          0     913328
sdc               0.20         0.00         3.60          0        216
sde             192.72         0.00     16413.20          0     984792
sdd             176.23         0.00     10633.07          0     637984
sdf             191.53         0.00     15843.73          0     950624
sda               1.07         0.00        12.27          0        736
dm-0              1.53         0.00        12.27          0        736
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            7267.92         0.00     58112.13          0    3486728

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             208.25         0.00     14621.60          0     877296
sdc               0.65         0.00         5.58          0        335
sde             189.13         0.00     16114.53          0     966872
sdd             167.00         0.00     10221.07          0     613264
sdf             184.70         0.00     15226.13          0     913568
sda               1.07         0.00        13.07          0        784
dm-0              1.63         0.00        13.07          0        784
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            7026.28         0.00     56183.33          0    3371000

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             194.77         0.00     14107.07          0     846424
sdc               0.10         0.00         0.63          0         38
sde             190.23         0.00     15862.93          0     951776
sdd             158.15         0.00      9771.33          0     586280
sdf             183.80         0.00     15185.20          0     911112
sda               0.98         0.00        10.67          0        640
dm-0              1.33         0.00        10.67          0        640
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            6869.27         0.00     54926.53          0    3295592

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             208.87         0.00     14761.07          0     885664
sdc               0.07         0.00         0.10          0          6
sde             193.68         0.00     16063.73          0     963824
sdd             167.12         0.00     10135.60          0     608136
sdf             183.43         0.00     15284.00          0     917040
sda               0.95         0.00        11.33          0        680
dm-0              1.42         0.00        11.33          0        680
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            7033.82         0.00     56244.40          0    3374664

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             212.48         0.00     15008.40          0     900504
sdc               0.45         0.00         3.95          0        237
sde             200.53         0.00     16688.53          0    1001312
sdd             171.65         0.00     10264.40          0     615864
sdf             190.63         0.00     15736.13          0     944168
sda               0.87         0.00        13.47          0        808
dm-0              1.68         0.00        13.47          0        808
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            7215.63         0.00     57697.47          0    3461848

